datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=67fa6403-d5c3-401b-b35d-ec70538ea41d,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:13:47,2013-04-09T11:13:47,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=edb5a04f-6c27-476e-87ea-abda5fc2ff30,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:30:08,2013-04-09T11:30:08,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=73decd94-06c8-4539-a64e-89f54fb882fc,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:14:20,2013-04-09T11:14:24,3,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=2921929f-1f8c-429e-8be9-ff47bc581078,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:22,2013-04-09T10:55:22,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=7567f7d5-ce25-42b1-84c9-c087e85be0a4,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:09,2013-04-09T10:58:29,80,NORMAL,1,1,0,109,109,109,0,0,0,109,109,0,109,0
http://gbrds.gbif.org/browse/agent?uuid=ded724e7-3fde-49c5-bfa3-03b4045c4c5f,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:35:16,2013-04-09T11:35:21,4,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=904b7df0-c7b8-11de-b279-841311f4a5c7,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:57:24,2013-04-09T10:57:24,0,NORMAL,1,1,0,6035,6035,6035,0,0,0,6035,6035,0,6035,0
http://gbrds.gbif.org/browse/agent?uuid=4894f2f8-74b5-403e-bd8d-6fe5123a3f71,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:09,2013-04-09T10:55:10,0,NORMAL,1,1,0,688,688,688,0,0,0,688,688,0,688,0
http://gbrds.gbif.org/browse/agent?uuid=eff7d030-3013-43da-b686-6bafdd228131,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:13:54,2013-04-09T11:13:54,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=a38c4b7c-4f02-4891-9655-607391a9288b,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:59:06,2013-04-09T10:59:06,0,NORMAL,1,1,0,205,205,205,0,0,0,205,205,0,205,0
http://gbrds.gbif.org/browse/agent?uuid=84b72ee4-f762-11e1-a439-00145eb45e9a,DIGIR,2013-04-09T10:55:33,2013-04-09T11:08:35,782,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
